match_term,locale,third_party_url
/your-needs/muscle-joint-and-bone-health.list,en-us,https://www.gardenoflife.com/products/health-interests/bone-health
/your-needs/muscle-joint-and-bone-health.list,x-default,https://www.gardenoflife.com/products/health-interests/bone-health
/your-needs/muscle-joint-and-bone-health.list,fr-fr,https://www.gardenoflife.fr/vos-besoins/muscles-articulations-os.list
/your-needs/muscle-joint-and-bone-health.list,es-es,https://www.gardenoflife.es/tus-necesidades/muscle-joint-and-bone-health.list
/your-needs/muscle-joint-and-bone-health.list,en-au,https://www.gardenoflife.net.au/your-needs/muscle-joint-and-bone-health.list
/your-needs/muscle-joint-and-bone-health.list,de-de,https://www.gardenoflife.de/deine-bedurfnisse/gesundheit-muskeln-und-knochen.list
/your-needs/muscle-joint-and-bone-health.list,it-it,https://www.gardenoflife-it.com/le-tue-esigenze/salute-di-muscoli-e-ossa.list
/your-needs/muscle-joint-and-bone-health.list,nl-nl,https://www.gardenoflife.nl/jouw-behoeften/spieren-gewrichten-en-botten.list
/your-needs/muscle-joint-and-bone-health.list,zh-tw,https://www.gardenoflife.tw/your-needs/muscle-joint-and-bone-health.list
/your-needs/kids.list,en-us,https://www.gardenoflife.com/products/our-vitamins/kids-vitamins
/your-needs/kids.list,x-default,https://www.gardenoflife.com/products/our-vitamins/kids-vitamins
/your-needs/kids.list,fr-fr,https://www.gardenoflife.fr/vos-besoins/enfant.list
/your-needs/kids.list,es-es,https://www.gardenoflife.es/tus-necesidades/ninos.list
/your-needs/kids.list,en-au,https://www.gardenoflife.net.au/your-needs/kids.list
/your-needs/kids.list,de-de,https://www.gardenoflife.de/deine-bedurfnisse/kinder.list
/your-needs/kids.list,it-it,https://www.gardenoflife-it.com/le-tue-esigenze/creato-per-bambini.list
/your-needs/kids.list,ja-jp,https://www.gardenoflife.jp/your-needs/kids.list
/your-needs/kids.list,nl-nl,https://www.gardenoflife.nl/jouw-behoeften/kinderen.list
/your-needs/immune-system.list,en-us,https://www.gardenoflife.com/products/health-interests/immunity
/your-needs/immune-system.list,x-default,https://www.gardenoflife.com/products/health-interests/immunity
/your-needs/immune-system.list,fr-fr,https://www.gardenoflife.fr/vos-besoins/systeme-immunitaire.list
/your-needs/immune-system.list,es-es,https://www.gardenoflife.es/tus-necesidades/immune-system.list
/your-needs/immune-system.list,en-au,https://www.gardenoflife.net.au/your-needs/immune-system.list
/your-needs/immune-system.list,de-de,https://www.gardenoflife.de/deine-bedurfnisse/immunsystem.list
/your-needs/immune-system.list,it-it,https://www.gardenoflife-it.com/le-tue-esigenze/sistema-immunitario.list
/your-needs/immune-system.list,nl-nl,https://www.gardenoflife.nl/jouw-behoeften/Immuunsysteem.list
/your-needs/immune-system.list,zh-tw,https://www.gardenoflife.tw/your-needs/immune-system.list
/your-needs/brain-health-and-wellbeing.list,en-us,https://www.gardenoflife.com/products/health-interests/brain-health
/your-needs/brain-health-and-wellbeing.list,x-default,https://www.gardenoflife.com/products/health-interests/brain-health
/your-needs/brain-health-and-wellbeing.list,fr-fr,https://www.gardenoflife.fr/vos-besoins/bien-etre-et-detox.list
/your-needs/brain-health-and-wellbeing.list,es-es,https://www.gardenoflife.es/tus-necesidades/salud-y-bienestar-cerebro.list
/your-needs/brain-health-and-wellbeing.list,en-au,https://www.gardenoflife.net.au/your-needs/brain-health-and-wellbeing.list
/your-needs/brain-health-and-wellbeing.list,de-de,https://www.gardenoflife.de/deine-bedurfnisse/gehirngesundheit-und-wohlbefinden.list
/your-needs/brain-health-and-wellbeing.list,it-it,https://www.gardenoflife-it.com/le-tue-esigenze/benessere.list
/your-needs/brain-health-and-wellbeing.list,nl-nl,https://www.gardenoflife.nl/jouw-behoeften/mentale-gezondheid-en-welzijn.list
/your-needs/brain-health-and-wellbeing.list,zh-tw,https://www.gardenoflife.tw/your-needs/brain-health-and-wellbeing.list
/your-needs.list,en-us,https://www.gardenoflife.com/products/health-interests
/your-needs.list,x-default,https://www.gardenoflife.com/products/health-interests
/your-needs.list,fr-fr,https://www.gardenoflife.fr/vos-besoins.list
/your-needs.list,es-es,https://www.gardenoflife.es/tus-necesidades.list
/your-needs.list,en-au,https://www.gardenoflife.net.au/your-needs.list
/your-needs.list,de-de,https://www.gardenoflife.de/deine-bedurfnisse.list
